Values,Values_04_08_03,Values_04_17_47,Values_04_27_29,Values_04_37_11,Values_04_46_53,Values_04_56_22
0.9719275972439406,1.021353216020101,1.1254695451336365,1.1622262542077348,1.1999579772592075,1.2462942538388049,1.3006503575460255
0.9722184821385288,1.0198203197327371,1.1232005842561403,1.160026957137565,1.1977505356535372,1.2439789661624547,1.298169089241532
0.9725073874970406,1.0178227489045426,1.1203404843590012,1.1572044231101404,1.1948969550199229,1.240995418214359,1.2950009307869454
0.9727939304022698,1.0153529838988589,1.116877389459389,1.153746998633601,1.1913858615274489,1.237332070995476,1.2911348193289593
0.9730777235699574,1.012403704906404,1.1127988401096662,1.149641725629247,1.187203819379759,1.2329743837534806,1.2865555250883494
0.9733583762428848,1.008967840027485,1.1080919207555937,1.1448745596051204,1.1823356315086222,1.2279052157527213,1.2812441570870217
0.9736354951247032,1.0050386265311693,1.1027434409994432,1.1394306388712838,1.1767647085270525,1.222105315226114,1.2751787777693646
0.9739086853509048,1.000609684928807,1.0967401484686934,1.133294600523586,1.1704734991491972,1.2155538855658736,1.2683351130662022
0.9741775514939616,0.995675105209134,1.090068970284522,1.126450937860732,1.1634439739032552,1.208229217138643,1.2606873424932805
0.9744416985994035,0.9902295442953232,1.0827172794553883,1.1188843929135917,1.155658152712301,1.2001093716362434,1.2522089521918067
0.9747007332492448,0.9842683335067776,1.074673181904802,1.110580376879812,1.147098665827187,1.1911729046327866,1.2428736324464649
0.9749542646489144,0.9777875945466789,1.065925819294134,1.1015254104944203,1.1377493366957585,1.1813996110465277,1.2326562001942831
0.9752019057335152,0.97078436229604,1.0564656823348129,1.091707575749467,1.1275957746702563,1.170771277531061,1.2215335263983806
0.9754432742890152,0.9632567124823156,1.0462849289124738,1.0811169699227017,1.116625965014432,1.1592724254719458,1.209485447931818
0.9756779940836712,0.9552038921104672,1.0353777010799796,1.069746152603383,1.1048308434930434,1.1468910282617109,1.1964956438185774
0.975905696004806,0.9466264504017354,1.0237404348259431,1.0575905763259112,1.0922048429235829,1.133619186881884,1.1825524563223957
0.9761260191958098,0.9375263678839092,1.0113721564977554,1.0446489915481787,1.0787463994515487,1.1194537485403206,1.1676496384613355
0.9763386121881116,0.9279071812199824,0.9982747598576212,1.0309238170459785,1.0644584069779337,1.1043968541918323,1.1517870110464716
0.97654313402267,0.9177741013517232,0.9844532579785362,1.0164214673367695,1.0493486091143918,1.0884564021956746,1.134971014274317
0.976739255355481,0.907134122572216,0.9699160045431257,1.0011526294894535,1.033429919253764,1.0716464171104676,1.117215141209513
0.9769266595414708,0.8959961202268499,0.9546748795872976,0.9851324826096682,1.0167206607986463,1.0539873146605463,1.0985402431284446
0.9771050436911676,0.884370934874641,0.9387454353249086,0.9683808543946532,0.9992447212578096,1.0355060561818863,1.0789746995950227
0.9772741196944968,0.8722714409191175,0.922146998388064,0.9509223104046848,0.9810316157612532,1.016236188315964,1.0585544492350158
0.9774336152061496,0.8597125979371312,0.904902725606046,0.9327861730707018,0.9621164575140444,0.9962177663028852,1.0373228803834091
0.9775832745870148,0.8467114831907584,0.887039611307195,0.9140064689168572,0.9425398347559736,0.9754971618613496,1.0153305840119782
0.9777228597963568,0.8332873040969074,0.8685884450427201,0.894621803985211,0.9223475958630746,0.954126759258929,0.9926349745091936
0.977852151229543,0.8194613897453967,0.849583719577894,0.8746751689680892,0.9015905462607824,0.932164545696648,0.9692997868892003
0.9779709484964136,0.8052571608926706,0.8300634899513606,0.8542136770406253,0.8803240627588595,0.9096736044831316,0.9453944617612569
0.9780790711355876,0.790700078207771,0.810069185343539,0.8332882388007311,0.8586076327094019,0.8867215215866662,0.9209934318141032
0.9781763592603756,0.7758175689023625,0.7896453763967005,0.8119531800268225,0.8365043269793527,0.8633797179663062,0.8961753255895589
0.9782626741322474,0.7606389322298345,0.7688395014691731,0.7902658091187417,0.8140802170725725,0.8397227215441505,0.87102210587971
0.9783378986582596,0.7451952246822972,0.7477015560629665,0.7682859420626378,0.7914037477964404,0.8158273937506444,0.8456181611417638
0.9784019378091956,0.7295191260412748,0.7262837503188575,0.7460753935302299,0.7685450776167878,0.7917721262281644,0.8200493688628189
0.97845471895569,0.7136447877412374,0.7046401400097055,0.723697443267728,0.7455753992664326,0.7676360235051851,0.7944021498210779
0.9784961921200224,0.697607665278558,0.6828262368690635,0.7012162872383401,0.7225662532618046,0.7434980872594472,0.7687625316977942
0.9785263301418228,0.6814443366365255,0.6608986043598083,0.6786964830514004,0.6995888467462532,0.719436417194349,0.7432152395308814
0.9785451287564008,0.6651923088952084,0.6389144451125645,0.6562023990453962,0.6767133895356359,0.6955274425922251,0.7178428291179253
0.9785526065849864,0.6488898153497891,0.6169311862467325,0.633797676004159,0.6540084584200341,0.6718451973275208,0.6927248777380789
0.9785488050366744,0.6325756055700448,0.5950060686327813,0.6115447098946885,0.6315403997118489,0.6484606495771841,0.6679372445430206
0.9785337881224492,0.6162887308959438,0.5731957458721967,0.589504163247349,0.6093727787688081,0.6254410957171225,0.6435514107473261
