Values,Values_10_23_32,Values_10_34_05,Values_10_44_06,Values_10_54_03,Values_11_03_59,Values_11_14_02,Values_11_24_53,Values_11_35_15,Values_11_45_35,Values_11_55_55,Values_12_06_13,Values_12_16_30,Values_12_26_46,Values_12_29_02
0.3188213343066288,0.3515981543383332,0.4289010680053654,0.4972581452702262,0.4942545585111957,0.4584016234825964,0.4128516179447999,0.3657027501185239,0.322417990969517,0.2882238204120357,0.2666275580371418,0.2566302471909892,0.2538085577707915,0.2540182959714178,0.25421050092756137
0.3716139331152241,0.4063083311394971,0.48910844066993,0.5637155848464599,0.5616094967462104,0.5240944817294508,0.4760793810394247,0.4262719280464065,0.3805367983572895,0.3444670126684805,0.3218003830652846,0.3114595983126719,0.3087225176022677,0.3091732371915485,0.3094227797838208
0.4275957357395676,0.4641375987412625,0.5524597098638132,0.6335640411311262,0.632521761522838,0.593464554661086,0.5430851117327962,0.4907085960513736,0.4426049782593014,0.4047341110289466,0.3810617124787883,0.3704302881718351,0.3678200425487712,0.3685458388856939,0.3688593513189556
0.4860356148256562,0.5243413509859269,0.6182060943218548,0.7060609300120925,0.7062510326680929,0.6657730380654352,0.6131317219159661,0.5582776352363952,0.50788956677309,0.4682942426068894,0.4436823608984802,0.4328142972159317,0.4303739045530735,0.43140947596412,0.43179370983984966
0.5460657514518493,0.5860346230221597,0.6854547203284873,0.7803153136840213,0.7819069542285466,0.7401308611494282,0.6853322225283265,0.6280946598931642,0.5755090186112622,0.5342684813135872,0.5087853156640962,0.4977357219009113,0.4955087879945155,0.4968892055502749,0.4973509843918442
0.6067011536781411,0.6482116054783976,0.7531879843079381,0.8553063602205119,0.8584670189178552,0.8155162261171068,0.7586670324951458,0.6991431663491909,0.6444502387242335,0.6016467822217878,0.5753625795576967,0.5641875293344527,0.5622179643189622,0.5639783730560461,0.5645245313719472
0.6668648371170056,0.7097710075565833,0.820288942151024,0.9299079269107406,0.9348005906374872,0.890798264799356,0.8320073735824215,0.770297735096035,0.7135916382028614,0.6693109198581785,0.6422980091044069,0.631054309453614,0.6293859712641141,0.6315612306743645,0.6321985411463419
0.7254177616383948,0.7695463899912008,0.8855718677034581,1.0029184756863108,1.0096983213218758,0.9647661017058304,0.9041440654423872,0.840352619728494,0.7817315631260671,0.7360627914739836,0.7083955201715786,0.6971404057480813,0.6958166855088751,0.6984409634509138,0.699176055042769
0.7811924016278453,0.8263403628775982,0.9478168856117416,1.0730952921905246,1.0819059860846938,1.0361623855750672,0.9738208122096044,0.9080548368459987,0.847621228248944,0.800657231210693,0.7724118181563617,0.7612025911097805,0.7602659627949176,0.7633723028818558,0.7642115737814223
0.8330286576145202,0.8789613602737075,1.0058073862900778,1.1391917770278837,1.1501615573119357,1.1037201493612956,1.039770871060829,0.9721406709210664,0.9100010875604294,0.8618382808834308,0.8330926089156145,0.8219862529074226,0.8214778156598447,0.825097702796096,0.8260472329679573
