Values,Values_03_44_43,Values_03_57_23,Values_04_09_41,Values_04_21_59,Values_04_34_37,Values_04_47_02,Values_04_58_00,Values_05_08_50,Values_05_20_17,Values_05_31_24,Values_05_42_15,Values_05_53_29,Values_06_04_58,Values_06_16_14,Values_06_27_37
0.0718169905468653,-0.0273362020600571,-0.0901501759618858,-0.1215912104978533,-0.1317160100678421,-0.1360656826934108,-0.1392863168264722,-0.1408072773581525,-0.1404962233509855,-0.1390160333332675,-0.1367094584501468,-0.133696521502314,-0.1300697382354313,-0.1259483975620776,-0.1214729893552762,-0.11678934876260712
0.1035818341981733,-0.0058322730438216,-0.0759262323921418,-0.1116455343884344,-0.1234484183777175,-0.12869039346093,-0.1325557071608496,-0.134411405898254,-0.1341697796118472,-0.1326283310083926,-0.1301944652974035,-0.1270051458162386,-0.1231578843589843,-0.1187779942899821,-0.1140147884894503,-0.10902449666595784
0.1408956141857341,0.0211052551018999,-0.0564987757202333,-0.0967413163617405,-0.1103651539502287,-0.116597781614142,-0.1211790064009234,-0.123412758623816,-0.1232669105182548,-0.1216869094905725,-0.1191507874638961,-0.115813468537237,-0.1117767115707858,-0.1071708031497698,-0.1021529681729948,-0.09688912068141936
0.1837335507251227,0.0534378766024595,-0.0319227699074458,-0.0769467990575884,-0.0925417879894989,-0.0998684564589012,-0.1052407590614934,-0.107898709468948,-0.1078770526322395,-0.1062829698868888,-0.1036712995074608,-0.1002159829773818,-0.0960222609787498,-0.091224322713231,-0.0859863834793677,-0.08048332888390884
0.2319270526803727,0.0909845167968518,-0.0023964662094452,-0.0524739895216092,-0.0701977974216763,-0.0787269895426586,-0.0849694040696266,-0.0881003015461118,-0.0882330222510882,-0.0866508285846797,-0.0839917839342129,-0.0804499397935046,-0.0761332261196001,-0.0711786323522577,-0.0657564211950689,-0.0600497258193874
0.2851518974502217,0.1334104816104123,0.0317280106564631,-0.0236887694114268,-0.0437063662082844,-0.0535514905595046,-0.0607466506662493,-0.0644014388739724,-0.0647200412697028,-0.0631767929714348,-0.060499670040014,-0.0569039606489073,-0.0524994516669427,-0.0474247848246415,-0.0418552936225337,-0.035981613425792765
0.3429222916071724,0.180222351185255,0.0699401150382831,0.0088851435841862,-0.0135979687510071,-0.0248769158343045,-0.033110548320357,-0.0373417434407876,-0.0378784058126217,-0.0364016591920154,-0.0337363740247413,-0.0301202320518703,-0.0256639911114834,-0.0205067367176549,-0.0148278494097595,-0.008824688569490233
0.4045912491877182,0.2307692249744943,0.1115727696030988,0.0445687727985304,0.0194426482147741,0.0066082689751928,-0.0027518778385947,-0.0076127111115637,-0.0083994374575336,-0.0070164775031068,-0.0043928909213293,-0.0007899341613754,0.003681617948736,0.0088835210994763,0.0146334332042636,0.020728094355360722
0.4693574934981854,0.2842504909018046,0.1558108508606321,0.0825371411968845,0.0545862150938575,0.0400721914235775,0.0294962454606048,0.0239529321778949,0.0228853710870449,0.0241484931283779,0.026701430965011,0.0302581563744135,0.0347089146089204,0.0399176802548417,0.0457003119665004,0.051848531376409365
0.5362788517402035,0.3397300499182445,0.2017061852856128,0.1218350997826451,0.0908752872989977,0.074556289927204,0.0626753902677314,0.0563984913490289,0.0550218177628421,0.0561414288885105,0.0585967079180651,0.0620756526371247,0.0664706634077573,0.0716494199267146,0.0774272358560277,0.08359176856273624
