Values,Values_03_49_29,Values_04_02_31,Values_04_14_43,Values_04_27_40,Values_04_40_31
1.7062330668323422,1.3636734945732911,1.0114266358675772,0.625512756398973,0.3091415503874643,0.02339353972153074
1.6990226279544212,1.3612060830558494,1.0113892563049132,0.6326725248911906,0.3237919107888158,0.045309999439309634
1.6912468016950395,1.359810479501874,1.0149542073527271,0.6463757317072942,0.3475100587361978,0.07878063283148481
1.682804951880765,1.3592757448212822,1.021733897674298,0.6659135348493762,0.379246551777884,0.12240230881202384
1.6736023711281116,1.3593872414287556,1.031311982172051,0.6905245960198331,0.4178819187360864,0.1746846188380261
1.6635517379043965,1.35993099034864,1.043255976693013,0.7194212007806814,0.4622669715258254,0.23410528678583764
1.652574498795076,1.3606977845295531,1.0571291009900876,0.7518130204013375,0.5112587641190549,0.29915907561383237
1.6406021667581543,1.361486973527022,1.07250098945783,0.78692783346548,0.5637512637754492,0.36839902297939564
1.627577526805231,1.3621098575980215,1.0889570239252742,0.8240288046454699,0.6187002341959982,0.4404693963350563
1.6134557406788317,1.362392651150012,1.1061061513623105,0.8624281692569379,0.6751422147259355,0.514130258872825
1.5982053417716475,1.3621789950715348,1.123587145095992,0.9014973845167398,0.7322078039558578,0.5882739746864826
1.581809110876659,1.3613320138636118,1.1410733467719931,0.9406739754137838,0.7891297119018315,0.6619343414137717
1.564264822514975,1.3597359262597024,1.1582759858230571,0.9794654223886456,0.8452462274423342,0.7342893069161711
1.545585850732595,1.357297227143099,1.174946213586641,1.0174505109517005,0.9000008564903625,0.8046583937642823
1.5258016225631656,1.3539454643507534,1.19087601198257,1.0542785944619044,0.9529389263715384,0.8724960210468552
